id,bucket,file_origine,data_documento,fornitore,descrizione,categoria_db,categoria_runtime,prezzo_unitario,totale_riga,quantita,tipo_documento,needs_review
117514,storno,IT00488410010_r2Z0a.xml,2026-01-13,TIM S.P.A,BONUS INTERNET,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
117515,storno,IT00488410010_r2Z0a.xml,2026-01-13,TIM S.P.A,BONUS LINEA MOBILE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-10.0,-10.0,1.0,TD01,False
117516,storno,IT00488410010_r2Z0a.xml,2026-01-13,TIM S.P.A,PROMO VALORE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
117521,storno,IT01378570350_nuvCa.xml,2026-01-20,PREGIS S.P.A,CARTA IGIEN JUMBO 2V STR973 PZ6 TENERELL,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-25.69,-51.38,2.0,TD04,False
117523,sconto_omaggio,IT01378570350_o1qoF.xml,2026-01-30,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,BICCHIERINO CAFFE'CELLINI VETRO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,0.55,0.0,12.0,TD24,False
114399,storno,IT04077341008_KD8KN.xml,2026-01-31,ENOTECA COLOMBO SNC,PER CONSUMO FUSTI BIRRA MORETTI MESE GENNAIO,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-44.2,-88.4,2.0,TD04,False
117694,sconto_omaggio,IT01378570350_oFFc7.xml,2026-01-31,SAMMONTANA ITALIA S.P.A. SOCIETÀ BENEFIT,INTRECCI NOCCIOLA 60P,PASTICCERIA,PASTICCERIA,36.94,0.0,1.0,TD24,False
117735,dicitura,IT02098391200_6Itds.xml,2026-01-31,G.R.A. S.A.S,CASSA 750/LITRO X12,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,5.0,TD01,True
117736,dicitura,IT02098391200_6Itds.xml,2026-01-31,G.R.A. S.A.S,FUSTI,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,2.0,TD01,True
117737,dicitura,IT02098391200_6Itds.xml,2026-01-31,G.R.A. S.A.S,FUSTI,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,3.0,TD01,True
117760,sconto_omaggio,IT02496180122_0208E.xml,2026-01-31,DOLCEMAGIC SRL,BOMBOLONE CREMA CACAO X 9 PZ,VARIE BAR,VARIE BAR,9.45,0.0,1.0,TD24,False
117828,dicitura,IT03703690283_00G2Z.xml,2026-01-19,OLIVO SRL,ACCONTO DEL 19/01/2026 - IMPEGNO CLIENTE N 804/OP DEL 2025,📝 NOTE E DICITURE,📝 NOTE E DICITURE,645.04,645.04,1.0,TD02,False
117876,storno,IT06628860964_fNqxP.xml,2026-01-20,ANDREA MALFITANO,A0004 - MEN T TISANE E INFUSI PLASTIFICATO,CAFFE E THE,CAFFE E THE,-1.5,-15.0,10.0,TD24,False
117874,storno,IT06628860964_fNqxP.xml,2026-01-20,ANDREA MALFITANO,A0005 - ESPOSITORE NERO IN CARTA,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-20.0,-20.0,1.0,TD24,False
114420,sconto_omaggio,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,11.0,TD24,False
112749,storno,IT01629410133_00II3.xml.p7m,2026-01-13,F.A.R.HO. SRL,ACCREDITO PER ERRATA IMPUTAZIONE PREZZO RICAMBIO RIF. FATT.AS 366 11.12.05,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-80.0,-80.0,1.0,TD04,False
117998,sconto_omaggio,IT0526289001426015_3VCTJ.xml,2026-01-07,PERFETTI VAN MELLE S.P.A,CONF.BIRRA HEINEKEN 24 BOTT,BIRRE,BIRRE,0.0,0.0,2.0,TD01,False
117999,sconto_omaggio,IT0526289001426015_3VCTJ.xml,2026-01-07,PERFETTI VAN MELLE S.P.A,"ACQUA VERA NAT. PET 24X0,5LT",ACQUA,ACQUA,0.0,0.0,3.0,TD01,False
112762,storno,IT02355260981_dbDco.xml.p7m,2026-01-14,COMAVICOLA - COMMERCIALE AVICOLA SPA,SCAMPO F-20/30 C/B SOFRIMAR,PESCE,PESCE,-12.0,-108.0,9.0,TD04,False
118018,storno,IT00488410010_raDtf.xml,2026-02-11,TIM S.P.A,BONUS INTERNET,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
118019,storno,IT00488410010_raDtf.xml,2026-02-11,TIM S.P.A,BONUS LINEA MOBILE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-10.0,-10.0,1.0,TD01,False
118020,storno,IT00488410010_raDtf.xml,2026-02-11,TIM S.P.A,PROMO VALORE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
118034,sconto_omaggio,IT01378570350_oLWRI.xml,2026-02-27,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,BICCHIERINO CAFFE'CELLINI VETRO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,0.55,0.0,24.0,TD24,False
118038,sconto_omaggio,IT01378570350_oLWRI.xml,2026-02-27,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,TAZZE+PIAT.CAFFE'CELLINI BAR,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,2.2,0.0,6.0,TD24,False
118039,sconto_omaggio,IT01378570350_oLWRI.xml,2026-02-27,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,TAZZE+PIAT.THE CELLINI BAR,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,3.0,0.0,6.0,TD24,False
118045,storno,IT01961900246_gagib.xml,2026-02-27,FASTWEB S.P.A,"ALTRI IMPORTI, RIACCREDITI, CORRISPETTIVI",SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-10.0,-10.0,1.0,TD01,False
118048,storno,IT01961900246_gagib.xml,2026-02-27,FASTWEB S.P.A,SCONTI,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-20.0,-20.0,1.0,TD01,False
118251,storno,IT12454611000_F4DDM.xml,2026-02-01,VERISURE ITALY SRL,OFFERTA SCONTO CANONE 12 EURO X 6 MESI 1 UN. (VALIDA FINO AL 27/02/2026),SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-11.57,-11.57,1.0,TD01,False
118257,storno,IT12454611000_F4DDM.xml,2026-02-01,VERISURE ITALY SRL,PROMOZIONE LIMITATA MY VERISURE 1 UN,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-1.0,-1.0,1.0,TD01,False
118259,storno,IT12454611000_F4DDM.xml,2026-02-01,VERISURE ITALY SRL,OFFERTA PRIMA CAM REGISTRAZIONE H24 - 3 GG 1 UN. (VALIDA FINO AL 27/02/2026),MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-3.85,-3.85,1.0,TD01,False
118268,storno,IT12883420155_8YS8s.xml,2026-02-17,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.37,-0.37,1.0,TD01,False
117222,sconto_omaggio,IT10077640968_Hy1mF.xml,2026-03-16,BRESCIANINI E CO.SRL,TOPMATIC HYDRO IT TANICA GRANDE KG.25 UN 1824,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,0.0,0.0,1.0,TD24,True
114421,storno,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI BIRRA RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,3.0,TD24,False
114422,storno,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,27.0,TD24,False
114423,storno,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE BOMBOLE CO2 KG. 14,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,1.0,TD24,False
114427,sconto_omaggio,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,13.0,TD24,False
114428,sconto_omaggio,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI BIRRA,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,2.0,TD24,False
114430,sconto_omaggio,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,30.99,0.0,11.0,TD24,False
114431,storno,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI BIRRA RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,2.0,TD24,False
114432,storno,IT04077341008_KD7XL.xml,2026-01-31,ENOTECA COLOMBO SNC,CAUZIONE FUSTI VINO RESI,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,-30.99,0.0,7.0,TD24,False
117217,sconto_omaggio,IT10077640968_HxF9K.xml,2026-02-28,BRESCIANINI E CO.SRL,TOPMATIC HYDRO IT TANICA GRANDE KG.25 UN 1824,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,0.0,0.0,1.0,TD24,True
117220,sconto_omaggio,IT10077640968_HxF9K.xml,2026-02-28,BRESCIANINI E CO.SRL,TOPRINSE JET LT.5,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,0.0,0.0,1.0,TD24,True
112910,storno,IT03237470236_e8O1q.xml,2026-01-20,PARTESA S.R.L,PREMIO POSTICIPATO FINE PERIODO RIFERIMENTO: 4000281097 VALIDIT: 01.12.2025 - 31.12.2025,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-1027.51,-1027.51,1.0,TD04,False
112911,storno,IT03237470236_e8O1q.xml,2026-01-20,PARTESA S.R.L,RIVALSA BOLLO N.C,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-2.0,-2.0,1.0,TD04,False
118122,dicitura,IT03703690283_00GJS.xml,2026-02-10,OLIVO SRL,RIF. FATTURA ACC. 89/OP DEL 19/01/2026,📝 NOTE E DICITURE,📝 NOTE E DICITURE,-645.04,-645.04,1.0,TD01,False
118049,sconto_omaggio,IT02046570426_eda6r.xml,2026-02-13,3G SRL,DIRITTO DI CHIAMATA MILANO CENTRO OMAGGIO,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,0.0,0.0,1.0,TD24,True
118311,sconto_omaggio,IT0526289001426054_BO2XL.xml,2026-02-18,PERFETTI VAN MELLE S.P.A,"ACQUA VERA NAT. PET 24X0,5LT",ACQUA,ACQUA,0.0,0.0,11.0,TD01,False
118342,sconto_omaggio,IT0526289001426054_BO2XL (1).xml,2026-02-18,PERFETTI VAN MELLE S.P.A,"ACQUA VERA NAT. PET 24X0,5LT",ACQUA,ACQUA,0.0,0.0,11.0,TD01,False
118364,storno,IT12883420155_8YS8s (1).xml,2026-02-17,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.37,-0.37,1.0,TD01,False
118586,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,CASSA 750/LITRO X12,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,7.0,TD01,True
118587,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,FUSTI,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
118592,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,CASSA 750/LITRO X12,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,4.0,TD01,True
118593,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,CASSA 750/LITRO X12,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,15.0,TD01,True
118594,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,FUSTI,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
118597,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,CASSA 750/LITRO X12,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
118598,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,FUSTI,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,True
118599,dicitura,IT02098391200_6LVo2.xml,2026-02-28,G.R.A. S.A.S,FUSTI,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,3.0,TD01,True
118606,storno,IT01961900246_gagib (1).xml,2026-02-27,FASTWEB S.P.A,"ALTRI IMPORTI, RIACCREDITI, CORRISPETTIVI",SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-10.0,-10.0,1.0,TD01,False
118609,storno,IT01961900246_gagib (1).xml,2026-02-27,FASTWEB S.P.A,SCONTI,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-20.0,-20.0,1.0,TD01,False
118877,sconto_omaggio,IT01378570350_oLWRI (1).xml,2026-02-27,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,BICCHIERINO CAFFE'CELLINI VETRO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,0.55,0.0,24.0,TD24,False
118881,sconto_omaggio,IT01378570350_oLWRI (1).xml,2026-02-27,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,TAZZE+PIAT.CAFFE'CELLINI BAR,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,2.2,0.0,6.0,TD24,False
118882,sconto_omaggio,IT01378570350_oLWRI (1).xml,2026-02-27,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,TAZZE+PIAT.THE CELLINI BAR,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,3.0,0.0,6.0,TD24,False
118894,storno,IT00488410010_raDtf (1).xml,2026-02-11,TIM S.P.A,BONUS INTERNET,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
118895,storno,IT00488410010_raDtf (1).xml,2026-02-11,TIM S.P.A,BONUS LINEA MOBILE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-10.0,-10.0,1.0,TD01,False
118896,storno,IT00488410010_raDtf (1).xml,2026-02-11,TIM S.P.A,PROMO VALORE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
118515,dicitura,IT03703690283_00GJS (1).xml,2026-02-10,OLIVO SRL,RIF. FATTURA ACC. 89/OP DEL 19/01/2026,📝 NOTE E DICITURE,📝 NOTE E DICITURE,-645.04,-645.04,1.0,TD01,False
118601,sconto_omaggio,IT02046570426_eda6r (1).xml,2026-02-13,3G SRL,DIRITTO DI CHIAMATA MILANO CENTRO OMAGGIO,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,0.0,0.0,1.0,TD24,True
114491,dicitura,IT00707240966_02663.xml.p7m,2026-01-20,BUZZI SPA,VITELLO LAVORATO -V-,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,296.83,TD24,True
113243,storno,IT07102210965_03QRP.xml,2026-01-16,H.D. ITALIA S.R.L,SALE FINO DA 1KGX12,SCATOLAME E CONSERVE,SCATOLAME E CONSERVE,-0.43,-5.13,12.0,TD04,False
114493,sconto_omaggio,IT00707240966_02663.xml.p7m,2026-01-20,BUZZI SPA,SERVIZIO DI DISOSSO E LAVORAZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,367.4,TD24,True
114494,dicitura,IT00707240966_02663.xml.p7m,2026-01-20,BUZZI SPA,ROAST BEEF BOVINO LAVORATO,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,176.42,TD24,True
114496,sconto_omaggio,IT00707240966_02663.xml.p7m,2026-01-20,BUZZI SPA,SERVIZIO DI DISOSSO E LAVORAZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,257.2,TD24,True
113357,dicitura,IT08973230967_ELzOO.xml,2026-01-14,"AMAZON EU S.A R.L., SUCCURSALE ITALIANA",COSTI DI SPEDIZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,False
113359,dicitura,IT08973230967_EO6bS.xml,2026-01-17,"AMAZON EU S.A R.L., SUCCURSALE ITALIANA",COSTI DI SPEDIZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,False
113361,dicitura,IT08973230967_EO6VY.xml,2026-01-17,"AMAZON EU S.A R.L., SUCCURSALE ITALIANA",COSTI DI SPEDIZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,False
113363,dicitura,IT08973230967_EOBuB.xml,2026-01-18,"AMAZON EU S.A R.L., SUCCURSALE ITALIANA",COSTI DI SPEDIZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,1.0,TD01,False
114559,sconto_omaggio,IT03237470236_eecPx.xml,2026-01-30,PARTESA S.R.L,"BIRRA ICHNUSA NON FILTRATA 33X24 GP 11,2",BIRRE,BIRRE,21.36,0.0,1.0,TD24,False
114566,storno,IT03237470236_eecPx.xml,2026-01-30,PARTESA S.R.L,ACCREDITO CAUZIONI,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-1785.0,-1785.0,1.0,TD24,False
114585,sconto_omaggio,IT00631300985_040E8.xml,2026-01-09,AZIENDA AGRICOLA CA' DEI FRATI DI DAL CERO PIETRO E FIGLI SOCIETA' AGRICOLA,ROSA DEI FRATI VINO ROSATO 2024,VINI,VINI,7.5,0.0,6.0,TD24,False
113704,storno,IT12883420155_7DI7s.xml,2026-01-15,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.78,-0.78,1.0,TD01,False
119152,storno,IT03237470236_ez8KJ.xml,2026-03-06,A.I.A. S.P.A. UNIPERSONALE,"S.F.A. TARGET ANN. - 31/12/2025 FATT.: 1.033,70 ACCONTI: 0,00 SU FATTURATO SALUMI DI SUINO A MARCHIO",CARNE,CARNE,-41.35,-41.35,1.0,TD04,False
113710,storno,IT12883420155_7SHBt.xml,2026-01-21,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.74,-0.74,1.0,TD01,False
113722,storno,IT016417907022026O_00IUo.xml,2026-01-21,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-41.4,-41.4,1.0,TD01,False
113725,storno,IT016417907022026O_00IUo.xml,2026-01-21,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-47.4,-47.4,1.0,TD01,False
113728,storno,IT016417907022026O_00IUo.xml,2026-01-21,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-49.2,-49.2,1.0,TD01,False
119195,storno,IT00488410010_s6a0q.xml,2026-03-11,TIM S.P.A,BONUS INTERNET,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
119196,storno,IT00488410010_s6a0q.xml,2026-03-11,TIM S.P.A,BONUS LINEA MOBILE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-10.0,-10.0,1.0,TD01,False
119197,storno,IT00488410010_s6a0q.xml,2026-03-11,TIM S.P.A,PROMO VALORE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
113731,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-25.2,-25.2,1.0,TD01,False
113734,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-41.4,-41.4,1.0,TD01,False
113737,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-47.4,-47.4,1.0,TD01,False
119206,sconto_omaggio,IT01378570350_ohdgt.xml,2026-03-31,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,TAZZE+PIAT.CAFFE'CELLINI BAR,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,2.2,0.0,12.0,TD24,False
113740,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-53.4,-53.4,1.0,TD01,False
113743,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-34.8,-34.8,1.0,TD01,False
119214,sconto_omaggio,IT01378570350_ohdgt.xml,2026-03-31,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,BICCHIERINO CAFFE'CELLINI VETRO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,0.55,0.0,24.0,TD24,False
